latitude,longitude,brightness,frp,frp_category,acq_date
44.7353,-67.255,300.8,5.0,1,2024-04-19
44.6953,-67.6743,304.5,4.1,1,2024-04-29
46.9155,-68.0275,306.7,5.9,1,2024-05-01
46.104,-67.9549,300.8,2.8,1,2024-05-01
45.4506,-69.6022,302.7,6.3,1,2024-05-20
44.8802,-67.7243,302.4,5.3,1,2024-05-23
44.8424,-67.7448,302.7,6.5,1,2024-05-23
44.2045,-70.5261,303.8,8.6,1,2024-06-01
44.8364,-69.2764,300.7,2.2,1,2024-06-28
44.9798,-68.7219,311.6,7.0,1,2024-07-08
44.0602,-70.195,308.3,6.4,1,2024-07-17
45.1666,-69.3924,304.9,3.5,1,2024-07-27
44.1165,-70.2329,305.6,71.6,3,2024-09-09
44.1257,-70.2283,304.5,66.3,3,2024-09-09
43.6155,-70.8035,309.7,19.7,1,2024-09-11
43.604,-70.7986,308.1,17.0,1,2024-09-11
43.6003,-70.8024,352.7,73.5,3,2024-09-12
43.5987,-70.8156,310.3,7.4,1,2024-09-12
43.6094,-70.8046,310.0,7.2,1,2024-09-12
44.644,-70.1073,312.8,10.1,1,2024-09-17
47.2429,-69.3446,301.9,11.9,1,2024-09-18
44.1708,-70.6411,301.2,13.3,1,2024-10-13
44.9445,-68.682,312.8,17.3,1,2024-10-13
45.2635,-68.9931,301.1,8.3,1,2024-10-13
45.0565,-69.8855,308.5,12.4,1,2024-10-18
44.5317,-69.6731,300.5,5.6,1,2024-10-18
44.9453,-69.6517,302.0,7.2,1,2024-10-18
44.4103,-70.8312,304.6,9.8,1,2024-10-19
44.0583,-70.1102,303.0,7.1,1,2024-10-23
44.2749,-69.7587,304.5,7.3,1,2024-10-23
44.1468,-70.4733,315.6,18.6,1,2024-10-23
44.1441,-70.4881,315.7,18.7,1,2024-10-23
43.5218,-70.4199,304.5,6.5,1,2024-10-23
43.5208,-70.4129,315.3,17.4,1,2024-10-23
43.5877,-70.3958,301.9,6.5,1,2024-10-23
43.658,-70.4099,300.7,5.0,1,2024-10-23
43.8879,-70.3464,305.6,8.7,1,2024-10-23
44.0609,-70.0958,301.9,6.3,1,2024-10-23
44.7919,-70.2055,304.5,8.0,1,2024-10-23
